0 strains,1 strain,2 strains,3 or more strains
2029467,4290108,4272907,4407518
2030887,4289421,4269986,4409706
2031629,4286548,4274925,4406898
2029614,4288588,4273208,4408590
2029764,4285916,4275204,4409116
2030010,4285547,4278415,4406028
2029486,4286624,4276466,4407424
2031723,4286501,4274670,4407106
2028449,4290835,4273433,4407283
2030667,4289778,4275167,4404388
2031637,4286947,4273346,4408070
2028113,4291679,4274196,4406012
2032392,4288073,4271778,4407757
2030169,4287134,4273225,4409472
2026576,4290103,4277730,4405591
2028087,4292583,4273626,4405704
2033628,4288431,4272868,4405073
2028629,4287368,4276628,4407375
2030045,4287360,4276191,4406404
2029201,4289046,4272282,4409471
2031965,4288379,4274610,4405046
2028677,4290586,4271477,4409260
2030103,4287282,4272965,4409650
2031272,4290676,4271108,4406944
2029970,4290088,4272799,4407143
2028545,4286584,4273097,4411774
2030864,4285248,4276617,4407271
2031439,4290719,4273189,4404653
2029470,4287724,4275217,4407589
2031443,4287778,4272508,4408271
2029189,4288455,4276051,4406305
2028108,4288627,4273147,4410118
2031344,4287792,4274126,4406738
2031038,4285967,4276893,4406102
2031953,4287016,4273632,4407399
2031035,4291087,4271363,4406515
2027984,4287402,4275987,4408627
2030076,4290887,4275795,4403242
2030812,4286850,4274539,4407799
2029021,4287334,4275915,4407730
2033093,4288078,4270260,4408569
2029620,4288327,4274473,4407580
2030950,4290916,4272779,4405355
2028959,4289300,4273338,4408403
2031665,4285207,4274723,4408405
2030235,4288113,4276948,4404704
2029529,4288408,4276868,4405195
2029004,4287638,4275785,4407573
2031641,4287620,4275553,4405186
2031722,4288842,4272722,4406714
2028539,4288454,4278303,4404704
2029041,4289863,4272886,4408210
2030290,4290366,4272433,4406911
2030616,4285318,4275876,4408190
2028631,4287475,4274364,4409530
2031916,4286911,4274629,4406544
2029995,4289424,4273648,4406933
2029865,4289593,4273353,4407189
2030997,4292080,4271098,4405825
2027390,4288817,4273128,4410665
2031524,4287884,4275888,4404704
2031308,4289858,4271576,4407258
2028105,4287710,4279097,4405088
2028723,4290890,4275681,4404706
2031932,4287224,4273751,4407093
2030924,4289576,4274005,4405495
2032698,4288162,4272217,4406923
2029977,4289074,4274150,4406799
2029433,4288480,4273727,4408360
2031136,4289665,4272176,4407023
2030601,4287470,4277313,4404616
2029927,4290366,4274246,4405461
2029221,4287742,4274677,4408360
2030662,4288930,4272950,4407458
2029049,4290096,4272209,4408646
2030326,4291514,4273123,4405037
2031534,4285206,4274193,4409067
2030854,4286297,4275712,4407137
2031103,4286744,4272921,4409232
2031062,4289832,4272806,4406300
2030983,4286847,4272965,4409205
2027665,4285842,4276390,4410103
2029382,4290058,4276084,4404476
2031373,4285697,4274503,4408427
2029173,4290560,4273822,4406445
2030679,4287348,4276629,4405344
2029757,4291710,4274271,4404262
2028040,4287307,4274442,4410211
2030392,4285838,4276704,4407066
2027758,4286640,4277082,4408520
2025773,4289762,4273803,4410662
2028462,4289880,4275482,4406176
2027588,4289613,4274848,4407951
2029365,4288687,4274177,4407771
2030869,4290314,4273695,4405122
2030011,4289029,4272520,4408440
2028735,4288212,4275392,4407661
2027210,4289858,4273644,4409288
2028930,4288291,4277812,4404967
2031366,4288674,4274009,4405951
2030385,4289883,4273659,4406073
2031556,4285999,4273057,4409388
2028967,4288896,4273703,4408434
2028366,4289698,4275074,4406862
2030642,4289040,4273453,4406865
2031374,4289313,4273971,4405342
2029018,4289694,4272222,4409066
2030981,4288600,4275268,4405151
2031551,4285997,4271935,4410517
2030352,4288663,4271234,4409751
2026773,4291363,4275104,4406760
2031945,4289353,4272390,4406312
2029047,4290520,4271187,4409246
2031325,4287016,4275947,4405712
2032273,4286860,4274960,4405907
2027728,4285114,4275796,4411362
2030397,4284323,4273081,4412199
2029989,4290233,4274033,4405745
2030502,4287616,4273559,4408323
2029974,4290517,4274545,4404964
2030964,4289824,4270143,4409069
2030711,4289960,4272761,4406568
2030712,4286221,4274988,4408079
2029841,4286500,4274924,4408735
2030052,4289291,4276307,4404350
2029383,4290475,4274660,4405482
2030751,4290033,4272328,4406888
2029493,4285087,4278280,4407140
2029338,4289965,4273052,4407645
2030908,4290492,4273298,4405302
2031461,4287276,4273868,4407395
2031956,4288785,4273931,4405328
2030630,4285857,4273197,4410316
2030534,4286371,4274719,4408376
2029099,4287917,4274920,4408064
2030319,4288908,4274386,4406387
2027661,4286535,4276902,4408902
2030317,4286578,4274549,4408556
2029610,4286999,4273027,4410364
2027710,4288955,4276297,4407038
2030245,4290413,4273968,4405374
2031163,4286099,4273766,4408972
2032161,4288448,4274038,4405353
2031091,4288350,4271905,4408654
2031946,4288502,4274068,4405484
2031004,4289450,4273532,4406014
2027952,4287674,4275942,4408432
2029503,4289940,4272077,4408480
2032321,4286044,4274052,4407583
2030904,4288376,4274179,4406541
2029817,4288673,4275085,4406425
2030493,4288618,4274524,4406365
2027479,4288925,4277718,4405878
2032957,4286349,4274111,4406583
2032746,4285257,4274507,4407490
2028476,4289039,4275807,4406678
2030707,4288000,4276797,4404496
2030783,4285187,4275895,4408135
2031353,4286354,4275320,4406973
