0 strains,1 strain,2 strains,3 or more strains
2033846,4240355,4231974,4493825
2029885,4242032,4235367,4492716
2029627,4243667,4233408,4493298
2032849,4241980,4230823,4494348
2029255,4241151,4233519,4496075
2028932,4242531,4233206,4495331
2031353,4241745,4234226,4492676
2028040,4241286,4235149,4495525
2026943,4243413,4235519,4494125
2030108,4239599,4232987,4497306
2030479,4242070,4232139,4495312
2029632,4242269,4235793,4492306
2027820,4240988,4236828,4494364
2030060,4242196,4235129,4492615
2031272,4242368,4232081,4494279
2030085,4242565,4233203,4494147
2029758,4241850,4234866,4493526
2030370,4245305,4233421,4490904
2030533,4241734,4231754,4495979
2027028,4244925,4234959,4493088
2032030,4242361,4233393,4492216
2030608,4242904,4233163,4493325
2031071,4244640,4234091,4490198
2028958,4242944,4234339,4493759
2030271,4240041,4233363,4496325
2028751,4242076,4236120,4493053
2029373,4242237,4233173,4495217
2031515,4242156,4230591,4495738
2030574,4242543,4231059,4495824
2028933,4241639,4233155,4496273
2029879,4243688,4234311,4492122
2029364,4241836,4232488,4496312
2031575,4240711,4231541,4496173
2030326,4240958,4234061,4494655
2028833,4244375,4234281,4492511
2031588,4242713,4231676,4494023
2031710,4242702,4231252,4494336
2029396,4242165,4232528,4495911
2027689,4244952,4234122,4493237
2027554,4243717,4233084,4495645
2032103,4240039,4233335,4494523
2028837,4244637,4233475,4493051
2029406,4239201,4237282,4494111
2029697,4241940,4235499,4492864
2030982,4243136,4233365,4492517
2028687,4239818,4235480,4496015
2032147,4241190,4235349,4491314
2028974,4244095,4232813,4494118
2029164,4239692,4232338,4498806
2030515,4243929,4230531,4495025
2029989,4243796,4233204,4493011
2028958,4241837,4232895,4496310
2030313,4243236,4233733,4492718
2031185,4244073,4231995,4492747
2031445,4242075,4232559,4493921
2030400,4239822,4234234,4495544
2027154,4243259,4232953,4496634
2030989,4242038,4234072,4492901
2032333,4244139,4231720,4491808
2029860,4240969,4231455,4497716
2029313,4243478,4237818,4489391
2030691,4242523,4231842,4494944
2029860,4245635,4230840,4493665
2028220,4245113,4234724,4491943
2030535,4242461,4234851,4492153
2028543,4242627,4233971,4494859
2029910,4244018,4233539,4492533
2029782,4240636,4235839,4493743
2030822,4241199,4232529,4495450
2028725,4241885,4236254,4493136
2028766,4244676,4234219,4492339
2029858,4241422,4232588,4496132
